Source,Target,count_RT,count_distinct_RT
dccolectivo,judrh,2,1
agapearg51,GabrielaMasista,58,1
rodolfoCeniz,RuthPizzi,5,1
SandraDocente,C_Echegoyen,108,3
donofriojorge,waltervazquez21,18,3
donofriojorge,waltervazquez21,18,3
lizzieyn,ConCiencia2015,76,1
Carlos_AD_Viola,PatriciaConti9,36,1
ajfernandez2001,interinosMAD,52,4
ajfernandez2001,interinosMAD,52,4
ajfernandez2001,interinosMAD,52,4
ajfernandez2001,interinosMAD,52,4
kiwiportuario,MartaLiliaRiva1,8,1
Laura_Capurro,Jennifer_Fari,28,1
PTSarg,mavirginiagomez,49,1
PTSarg,mavirginiagomez,49,1
PTSarg,mavirginiagomez,49,1
PTSarg,mavirginiagomez,49,1
PTSarg,mavirginiagomez,49,1
maraluz2015,tapetolomei,54,1
mariancavandoli,ana_mnaya,104,1
mariancavandoli,ana_mnaya,104,1
jorhurt,JulioPangaro,5,1
lilifinochietta,CuervoAlcira,71,1
mavirginiagomez,PTSarg,28,2
mavirginiagomez,PTSarg,28,2
mavirginiagomez,PTSarg,28,2
mavirginiagomez,PTSarg,28,2
mavirginiagomez,PTSarg,28,2
mavirginiagomez,PTSarg,28,2
ConCiencia2015,PijuanTeresa,26,1
Lili_RamirezOK,adrianapellaca1,36,1
maraluz2015,Gonzalocarta,6,1
ArielRomanini,RipamontiRita,140,1
lilianasirne,TOTTYGREEN,17,1
LaBelgrana,BlackEternidad,52,1
LaBelgrana,Vbluesciudadano,45,1
LaBelgrana,Vbluesciudadano,45,1
LaBelgrana,Vbluesciudadano,45,1
pazbriano23,adrianapellaca1,36,1
Udocbaedelacruz,lhtundis,16,1
HoraOmega,diana_elisabet,19,1
mariagianc,SandraMarzocch,70,2
mariagianc,SandraMarzocch,70,2
AlesMiguens,alletsm,16,1
PatriciaConti9,lilifinochietta,69,1
PatriciaConti9,lilifinochietta,69,1
PatriciaConti9,lilifinochietta,69,1
au9beat,JorgeFavaloro,79,1
au9beat,JorgeFavaloro,79,1
buccinomarivin1,AdolfogusResist,21,1
Jennifer_Fari,mirasoles2010,75,1
Jennifer_Fari,mirasoles2010,75,1
hbonanata,debiloto,80,1
PochiRafael,KIKAdeAlmodovar,12,1
Laura_Capurro,mirasoles2010,75,1
Laura_Capurro,mirasoles2010,75,1
Laura_Capurro,mirasoles2010,75,1
Laura_Capurro,mirasoles2010,75,1
Laura_Capurro,mirasoles2010,75,1
wpicatto,cliporace,17,1
wpicatto,cliporace,17,1
wpicatto,cliporace,17,1
MelyHoruS,arielchacabuco,84,2
mavirginiagomez,danielitalux,5,1
jaz_f45,cecioasis,7,1
anysuarok,luispagella,14,1
anysuarok,luispagella,14,1
indian_vale,marcelanricci86,18,1
VivianA_Jean,pirulopardo,35,1
leonxxxiii,MarcosBrindicci,2,1
mariavaggemore1,Semabe2010,41,1
interinosMAD,sariogallardo,24,2
interinosMAD,sariogallardo,24,2
interinosMAD,sariogallardo,24,2
IzqSocUNLZ,crist_ruibal,51,1
juancristonomo,NicolettaArg,88,2
ArielJob,RaulRlmarzetti,80,1
ArielJob,RaulRlmarzetti,80,1
HugoYasky,soniaalesso1,13,1
anainesbernal,luispagella,14,1
SanBravoOk,M_Bronenberg,28,1
SanBravoOk,M_Bronenberg,28,1
SanBravoOk,M_Bronenberg,28,1
Marcela01404806,humano_demasia3,199,1
CheMendele,narodowski,17,1
kukycbj,humano_demasia3,199,1
JuanaSinarco3,interinosMAD,26,2
JuanaSinarco3,interinosMAD,26,2
JuanaSinarco3,interinosMAD,26,2
JuanaSinarco3,interinosMAD,26,2
VivianA_Jean,VJotinsky,76,1
LaBelgrana,a_alechiara,14,1
nievesvioleta,NoVotoProcesado,14,1
LaBelgrana,elechozas,11,1
NicolettaArg,GustOlmos,45,1
cliporace,Gracemazzola,38,1
FreddyAntecsor,TatianaSAV,2,1
FreddyAntecsor,TatianaSAV,2,1
FreddyAntecsor,TatianaSAV,2,1
FreddyAntecsor,TatianaSAV,2,1
FreddyAntecsor,TatianaSAV,2,1
Vbluesciudadano,nanaHarta,49,1
SanBravoOk,Gracemazzola,38,1
SanBravoOk,Gracemazzola,38,1
Jota_eMe1917,Claubonara,28,1
Carlos_AD_Viola,BlackEternidad,52,1
Carlos_AD_Viola,BlackEternidad,52,1
azulinamorena,humano_demasia3,199,1
azulinamorena,humano_demasia3,199,1
azulinamorena,humano_demasia3,199,1
SusanitaG1,LaBelgrana,170,1
Vbluesciudadano,SusanitaG1,32,1
LaBelgrana,ludovica007,28,1
luisrodriguezrm,PatriciaConti9,36,1
M_Bronenberg,elipedraza2509,18,1
rmnunez2012,jorhurt,78,1
mamibel09,dccolectivo,35,1
Mariel_UdocbaSN,mariagianc,58,2
Mariel_UdocbaSN,mariagianc,58,2
Mariel_UdocbaSN,mariagianc,58,2
Mariel_UdocbaSN,mariagianc,58,2
dunnowhich,azulinamorena,596,2
LaBelgrana,PochiRafael,582,2
perezmaxi,Mariel_UdocbaSN,80,1
Gabycasla,PolloSobrero,16,1
rodolfoCeniz,Ecgius1,102,1
hodrozd,Munchis17,29,1
CasaRosa19,giganteMandela,16,1
LaBelgrana,migeroli,64,1
88lamaga,acmetiny,63,1
vatica2015,kukycbj,47,1
cliporace,88lamaga,82,1
