Source,Target,count_RT,count_distinct_RT
todonoticias,LaBelgrana,170,1
Winston_Dunhill,LaBelgrana,340,2
betovaldez,LaBelgrana,510,3
fargosi,LaBelgrana,170,1
WolffWaldo,WolffWaldo,35,5
JonatanViale,LaBelgrana,170,1
HugoYasky,FernandezAnibal,13,1
fernandocarnota,LaBelgrana,170,1
CTAok,CasaRosadaAR,36,2
NunkMasKs,LaBelgrana,170,1
infobae,LaBelgrana,170,1
HugoYasky,CTAok,7,1
CTAok,RobiBaradel,16,2
CTAok,HugoYasky,10,2
santosjorgeh,JorgeFavaloro,79,1
RobiBaradel,HugoYasky,5,1
HugoYasky,CasaRosadaAR,36,2
mis2centavos,LaBelgrana,170,1
NunkMasKs,NunkMasKs,80,4
eldestapeweb,anotherputo_,3,1
HugoYasky,RobiBaradel,8,1
lanatoparatodos,LaBelgrana,170,1
luispagella,LaBelgrana,170,1
JorgeFavaloro,LaBelgrana,170,1
elcoya1977,LaBelgrana,340,2
santosjorgeh,LaBelgrana,680,4
infobae,fernandocarnota,12,1
RobiBaradel,RobiBaradel,8,1
RobiBaradel,CTAok,7,1
CasaRosadaAR,FernandezAnibal,39,3
martintetaz,LaBelgrana,170,1
fernandocarnota,fernandocarnota,24,2
copi__,LaBelgrana,850,5
CTAok,FernandezAnibal,13,1
mis2centavos,mis2centavos,85,5
