ci,id,degree,Label
71551312,Winston_Dunhill,2325,Winston_Dunhill
57822552,santosjorgeh,1657,santosjorgeh
55026688,fernandocarnota,1745,fernandocarnota
45848634,JorgeFavaloro,1483,JorgeFavaloro
42052088,lanatoparatodos,1529,lanatoparatodos
37856910,elcoya1977,1471,elcoya1977
33925374,betovaldez,1407,betovaldez
31175045,LaBelgrana,606,LaBelgrana
30129480,fargosi,1271,fargosi
29494764,RobiBaradel,1483,RobiBaradel
27043120,copi__,1041,copi__
23379462,NunkMasKs,1027,NunkMasKs
17316472,WolffWaldo,812,WolffWaldo
16165470,HugoYasky,987,HugoYasky
15975882,mis2centavos,1020,mis2centavos
15693120,eldestapeweb,1441,eldestapeweb
14284499,CTAok,830,CTAok
14149350,EdgardoRovira,1176,EdgardoRovira
13671789,atlanticsurff,942,atlanticsurff
13570825,edufeiok,840,edufeiok
11720226,JonatanViale,723,JonatanViale
10199664,martintetaz,773,martintetaz
9260920,infobae,681,infobae
9101079,CFKArgentina,1162,CFKArgentina
9001440,luispagella,631,luispagella
8841476,GFrondizi,645,GFrondizi
8618858,FernandezAnibal,822,FernandezAnibal
8123219,CasaRosadaAR,744,CasaRosadaAR
7785932,FragaRosendo,749,FragaRosendo
6501990,todonoticias,628,todonoticias
2650266,anotherputo_,919,anotherputo_
605346,lucaslauriente,1422,lucaslauriente
269328,SantiAysine,745,SantiAysine
